web-scraper-order,web-scraper-start-url,property_type,property_type-href,property_name,prices,categories,commission,bedrooms,bathrooms,garage,amenities,address,area
1606930240-2870,https://meqasa.com/houses-for-rent-in-ghana?w=183,Read more,https://meqasa.com/apartment-for-rent-at-Spintex--133454?y=1216578145,1 bedroom furnished apartment for rent at Spintex,"GH₵ 2,884","Apartment for Rent

Apartment for Rent in Spintex",null,1,1,0,"Air conditioning
Cooker
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Spintex,null
1606927649-2736,https://meqasa.com/houses-for-rent-in-ghana?w=192,Read more,https://meqasa.com/apartment-for-rent-at-Dzorwulu-149096?y=464465535,1 bedroom furnished apartment for rent at Dzorwulu,"GH₵ 1,500","Apartment for Rent

Apartment for Rent in Dzorwulu",10.00%,1,1,0,Air Conditioning,Dzorwulu,null
1606925131-2600,https://meqasa.com/houses-for-rent-in-ghana?w=200,Read more,https://meqasa.com/apartment-for-rent-at-Osu-058047?y=2113882234,2 bedroom apartment for rent at Osu,"GH₵ 9,790","Apartment for Rent

Apartment for Rent in Osu",8.00%,2,,,Air Conditioning,Osu,null
1606926144-2647,https://meqasa.com/houses-for-rent-in-ghana?w=197,Read more,https://meqasa.com/apartment-for-rent-at-Tema-comm.25--148630?y=1060468882,2 bedroom apartment for rent at Tema comm.25,"GH₵ 1,300","Apartment for Rent

Apartment for Rent in Tema comm.25",10.00%,2,2,20,"Fans
Garden
Garage
Security service
Water reservoir",Tema,250 m2
1606926169-2649,https://meqasa.com/houses-for-rent-in-ghana?w=197,Read more,https://meqasa.com/house-for-rent-at-Oyarifa-Rd-148982?y=1060468882,4 bedroom house for rent at Oyarifa Rd,"GH₵ 1,500","House for Rent

House for Rent in Oyarifa Rd",10.00%,4,3,0,"Fans
Security service
Water reservoir",Oyarifa Rd,null
1606926185-2650,https://meqasa.com/houses-for-rent-in-ghana?w=197,Read more,https://meqasa.com/house-for-rent-at-East-legon-wrst-trasssacco-148984?y=1060468882,5 bedroom house for rent at East legon wrst trasssacco,"GH₵ 5,000","House for Rent

House for Rent in East legon wrst trasssacco",10.00%,5,5,4,"Air conditioning
Fans
Internet
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Water reservoir",East legon,426 m2
1606926538-2671,https://meqasa.com/houses-for-rent-in-ghana?w=196,Read more,https://meqasa.com/apartment-for-rent-at--Cantonments-121210?y=196461797,3 bedroom apartment for rent at  Cantonments,"GH₵ 17,000","Apartment for Rent

Apartment for Rent in Cantonments",10.00%,3,4,2,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Internet
Dstv
Garden
Annexe (Boys' quarters)
Swimming pool
Security service
Generator
Water reservoir",Cantonments,280 m2
1606925255-2607,https://meqasa.com/houses-for-rent-in-ghana?w=200,Read more,https://meqasa.com/apartment-for-rent-at-Labone-136678?y=2113882234,3 bedroom apartment for rent at Labone,"GH₵ 26,035","Apartment for Rent

Apartment for Rent in Labone",8.00%,3,1,1,"Air conditioning
Refrigerator
Microwave
Internet
Dstv
Garage
Security service
Generator
Water reservoir",Labone,218 m2
1606927015-2700,https://meqasa.com/houses-for-rent-in-ghana?w=194,Read more,https://meqasa.com/townhouse-for-rent-at-Cantonments-106972?y=623450883,4 bedroom furnished townhouse for rent at Cantonments,"GH₵ 27,195","Townhouse for Rent

Townhouse for Rent in Cantonments",10.00%,4,5,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Internet
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,null
1606928978-2805,https://meqasa.com/houses-for-rent-in-ghana?w=187,Read more,https://meqasa.com/apartment-for-rent-at-Newly-built-2-bedroom-town-houses-for-rent-at-East-Legon-adjiriganor-school-junc-149218?y=1388781199,2 bedroom apartment for rent at Newly built 2-bedroom town houses for rent at East Legon adjiriganor school junc,"GH₵ 3,263","Apartment for Rent

Apartment for Rent in Newly built 2-bedroom town houses for re",10.00%,2,3,0,"Air conditioning
Cooker
Fans
Garden
Garage
Security service
Water reservoir",East Legon,36 m2
1606927472-2727,https://meqasa.com/houses-for-rent-in-ghana?w=192,Read more,https://meqasa.com/house-for-rent-at-Burma-Camp-149083?y=464465535,3 bedroom house for rent at Burma Camp,"GH₵ 6,840","House for Rent

House for Rent in Burma Camp",10.00%,3,3,0,Air Conditioning,Burma Camp,400 m2
1606930713-2897,https://meqasa.com/houses-for-rent-in-ghana?w=182,Read more,"https://meqasa.com/apartment-for-rent-at-null-Residential-Area,Accra,Ghana-102886?y=694502847","1 bedroom furnished apartment for rent at null Residential Area,Accra,Ghana","GH₵ 13,800","Apartment for Rent

Apartment for Rent in null Residential Area",1 month's rent,1,1,0,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Swimming pool
Security service
Generator
Water reservoir",Accra,"null

null in null Residential Area"
1606930692-2895,https://meqasa.com/houses-for-rent-in-ghana?w=182,Read more,https://meqasa.com/apartment-for-rent-at-ACHIMOTA-143125?y=694502847,3 bedroom furnished apartment for rent at ACHIMOTA,"GH₵ 4,500","Apartment for Rent

Apartment for Rent in ACHIMOTA",10.00%,3,3,1,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Security service
Generator
Water reservoir",ACHIMOTA,null
1606927994-2754,https://meqasa.com/houses-for-rent-in-ghana?w=191,Read more,https://meqasa.com/apartment-for-rent-at-Takoradi-108189?y=2049460700,1 bedroom furnished apartment for rent at Takoradi,"GH₵ 3,807","Apartment for Rent

Apartment for Rent in Takoradi",1 month's rent,1,1,0,"Air conditioning
Cooker",Takoradi,null
1606926369-2661,https://meqasa.com/houses-for-rent-in-ghana?w=196,Read more,https://meqasa.com/apartment-for-rent-at--Nmai-Dzor-around-Melcom-149022?y=196461797,2 bedroom apartment for rent at  Nmai Dzor around Melcom,"GH₵ 1,000","Apartment for Rent

Apartment for Rent in Nmai Dzor around Melcom",10.00%,2,2,0,Air Conditioning,Nmai Dzor ,400 m2
1606927313-2719,https://meqasa.com/houses-for-rent-in-ghana?w=193,Read more,https://meqasa.com/house-for-rent-at--Trasacco--149073?y=1683947213,2 bedroom house for rent at  Trasacco,"GH₵ 3,000","House for Rent

House for Rent in Trasacco",10.00%,2,2,0,Air Conditioning,Trasacco,400 m2
1606926935-2695,https://meqasa.com/houses-for-rent-in-ghana?w=194,Read more,https://meqasa.com/apartment-for-rent-at--Nmai-Dzor-around-Melcom-149052?y=623450883,2 bedroom apartment for rent at  Nmai Dzor around Melcom,"GH₵ 3,500","Apartment for Rent

Apartment for Rent in Nmai Dzor around Melcom",10.00%,2,2,0,Air Conditioning,Nmai Dzor,400 m2
1606930385-2879,https://meqasa.com/houses-for-rent-in-ghana?w=183,Read more,https://meqasa.com/apartment-for-rent-at-Osu-145979?y=1216578145,3 bedroom apartment for rent at Osu,"GH₵ 17,404","Apartment for Rent

Apartment for Rent in Osu",null,3,5,4,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Garden
Garage
Annexe (Boys' quarters)
Security service
Generator
Water reservoir",Osu,550 m2
1606926945-2696,https://meqasa.com/houses-for-rent-in-ghana?w=194,Read more,https://meqasa.com/apartment-for-rent-at-Ogbojo-149054?y=623450883,2 bedroom apartment for rent at Ogbojo,"GH₵ 1,500","Apartment for Rent

Apartment for Rent in Ogbojo",10.00%,2,2,0,Air Conditioning,Ogbojo,400 m2
1606928309-2770,https://meqasa.com/houses-for-rent-in-ghana?w=190,Read more,https://meqasa.com/apartment-for-rent-at--east-Legon--149157?y=1367448644,3 bedroom apartment for rent at  east Legon,"GH₵ 13,110","Apartment for Rent

Apartment for Rent in east Legon",10.00%,3,3,0,Air Conditioning,east Legon,400 m2
1606926523-2670,https://meqasa.com/houses-for-rent-in-ghana?w=196,Read more,https://meqasa.com/house-for-rent-at-Ashongman-Estates-137752?y=196461797,3 bedroom house for rent at Ashongman Estates,"GH₵ 1,400","House for Rent

House for Rent in Ashongman Estates",10.00%,3,2,2,"Air conditioning
Garden
Garage
Water reservoir",Ashongman Estates,null
1606926290-2657,https://meqasa.com/houses-for-rent-in-ghana?w=197,Read more,"https://meqasa.com/apartment-for-rent-at-DANSOMAN-KEEPFIT(REG=GHC50,-SERVICE-CHARGE=10)-148996?y=1060468882","2 bedroom apartment for rent at DANSOMAN KEEPFIT(REG=GHC50, SERVICE CHARGE=10%)","GH₵ 1,200","Apartment for Rent

Apartment for Rent in DANSOMAN KEEPFIT",10.00%,2,2,0,Air Conditioning,DANSOMAN,"1,200 m2"
1606926922-2694,https://meqasa.com/houses-for-rent-in-ghana?w=194,Read more,https://meqasa.com/house-for-rent-at-Lakeside-Estate--149051?y=623450883,3 bedroom furnished house for rent at Lakeside Estate,"GH₵ 11,400,000","House for Rent

House for Rent in Lakeside Estate",10.00%,3,3,0,Air Conditioning,Lakeside Estate,400 m2
1606929804-2845,https://meqasa.com/houses-for-rent-in-ghana?w=185,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-093648?y=23633777,2 bedroom furnished apartment for rent at Cantonments,"GH₵ 11,966","Apartment for Rent

Apartment for Rent in Cantonments",null,2,3,5,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,180 m2
1606929361-2825,https://meqasa.com/houses-for-rent-in-ghana?w=186,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-092733?y=2009497526,2 bedroom apartment for rent at Cantonments,"GH₵ 7,071","Apartment for Rent

Apartment for Rent in Cantonments",null,2,3,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Garden
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,180 m2
1606928151-2762,https://meqasa.com/houses-for-rent-in-ghana?w=190,Read more,https://meqasa.com/house-for-rent-at-Lakeside-Community-1-149149?y=1367448644,3 bedroom house for rent at Lakeside Community 1,"GH₵ 2,500","House for Rent

House for Rent in Lakeside Community 1",10.00%,3,3,0,Water Reservoir,Lakeside,400 m2
1606926726-2681,https://meqasa.com/houses-for-rent-in-ghana?w=195,Read more,https://meqasa.com/house-for-rent-at-Kokrobite-073096?y=457512009,4 bedroom house for rent at Kokrobite,"GH₵ 2,500","House for Rent

House for Rent in Kokrobite",10.00%,4,3,0,Water reservoir,Kokrobite,null
1606929895-2849,https://meqasa.com/houses-for-rent-in-ghana?w=185,Read more,https://meqasa.com/apartment-for-rent-at-Dzorwulu-093195?y=23633777,2 bedroom furnished apartment for rent at Dzorwulu,"GH₵ 6,527","Apartment for Rent

Apartment for Rent in Dzorwulu",null,2,1,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Dzorwulu,120 m2
1606928697-2793,https://meqasa.com/houses-for-rent-in-ghana?w=188,Read more,https://meqasa.com/house-for-rent-at-Adjiringanor-Ability-149194?y=1908632939,4 bedroom house for rent at Adjiringanor Ability,"GH₵ 17,400","House for Rent

House for Rent in Adjiringanor Ability",10.00%,4,4,0,Water Reservoir,Adjiringanor,400 m2
1606927979-2753,https://meqasa.com/houses-for-rent-in-ghana?w=191,Read more,https://meqasa.com/apartment-for-rent-at--null-Residential--149136?y=2049460700,3 bedroom furnished apartment for rent at  null Residential,"GH₵ 11,400","Apartment for Rent

Apartment for Rent in null Residential",10.00%,3,3,0,Water Reservoir,null Residential,400 m2
1606926677-2677,https://meqasa.com/houses-for-rent-in-ghana?w=195,Read more,https://meqasa.com/house-for-rent-at-Kwashieman-086523?y=457512009,3 bedroom house for rent at Kwashieman,"GH₵ 1,700","House for Rent

House for Rent in Kwashieman",10.00%,3,2,0,"Fans
Garage
Annexe (Boys' quarters)",Kwashieman,null
1606925336-2612,https://meqasa.com/houses-for-rent-in-ghana?w=200,Read more,https://meqasa.com/apartment-for-rent-at-Dzorwulu-135317?y=2113882234,2 bedroom apartment for rent at Dzorwulu,"GH₵ 17,328","Apartment for Rent

Apartment for Rent in Dzorwulu",8.00%,2,1,1,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Internet
Dstv
Garage
Swimming pool
Security service
Generator
Water reservoir",Dzorwulu,66 m2
1606925157-2602,https://meqasa.com/houses-for-rent-in-ghana?w=200,Read more,https://meqasa.com/townhouse-for-rent-at-null-Residential-055565?y=2113882234,4 bedroom townhouse for rent at null Residential,"GH₵ 19,036","Townhouse for Rent

Townhouse for Rent in null Residential",1 month's rent,4,3,0,"Air conditioning
Internet
Dstv
Security service
Generator
Water reservoir",null Residential,null
1606927198-2712,https://meqasa.com/houses-for-rent-in-ghana?w=193,Read more,https://meqasa.com/house-for-rent-at--Kwabenya-ACP-junction--149065?y=1683947213,4 bedroom house for rent at  Kwabenya ACP junction,"GH₵ 2,700","House for Rent

House for Rent in Kwabenya ACP junction",10.00%,4,4,0,Water Reservoir,Kwabenya,400 m2
1606929703-2839,https://meqasa.com/houses-for-rent-in-ghana?w=185,Read more,https://meqasa.com/house-for-rent-at-Cantonments-105961?y=23633777,5 bedroom furnished house for rent at Cantonments,"GH₵ 27,195","House for Rent

House for Rent in Cantonments",null,5,6,5,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,820 m2
1606929121-2812,https://meqasa.com/houses-for-rent-in-ghana?w=187,Read more,https://meqasa.com/apartment-for-rent-at-Trade-Fair-108723?y=1388781199,1 bedroom furnished apartment for rent at Trade Fair,"GH₵ 4,351","Apartment for Rent

Apartment for Rent in Trade Fair",null,1,1,3,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Security service
Generator
Water reservoir",Trade Fair,100 m2
1606925906-2635,https://meqasa.com/houses-for-rent-in-ghana?w=198,Read more,https://meqasa.com/apartment-for-rent-at-North-Legon-111659?y=1556277904,3 bedroom apartment for rent at North Legon,"GH₵ 10,890","Apartment for Rent

Apartment for Rent in North Legon",8.00%,3,3,0,Water Reservoir,North Legon,null
1606928615-2789,https://meqasa.com/houses-for-rent-in-ghana?w=188,Read more,https://meqasa.com/apartment-for-rent-at--adjiringanor--149191?y=1908632939,1 bedroom apartment for rent at  adjiringanor,"GH₵ 1,300","Apartment for Rent

Apartment for Rent in adjiringanor",10.00%,1,1,0,Water Reservoir,adjiringanor,400 m2
1606927599-2733,https://meqasa.com/houses-for-rent-in-ghana?w=192,Read more,https://meqasa.com/house-for-rent-at-Cantonment-149094?y=464465535,4 bedroom house for rent at Cantonment,"GH₵ 28,500","House for Rent

House for Rent in Cantonment",10.00%,4,4,0,Water Reservoir,Cantonment,400 m2
1606927345-2722,https://meqasa.com/houses-for-rent-in-ghana?w=193,Read more,https://meqasa.com/house-for-rent-at--Botwe-near-star-bite--149078?y=1683947213,3 bedroom house for rent at  Botwe near star bite,"GH₵ 3,500","House for Rent

House for Rent in Botwe near star bite",10.00%,3,3,0,Water Reservoir,Botwe,400 m2
1606926772-2684,https://meqasa.com/houses-for-rent-in-ghana?w=195,Read more,https://meqasa.com/house-for-rent-at-North-Dzorwulu-132117?y=457512009,5 bedroom house for rent at North Dzorwulu,"GH₵ 11,400","House for Rent

House for Rent in North Dzorwulu",10.00%,5,4,0,"Fans
Garden
Garage
Annexe (Boys' quarters)
Security service",North Dzorwulu,null
1606928445-2779,https://meqasa.com/houses-for-rent-in-ghana?w=189,Read more,https://meqasa.com/apartment-for-rent-at-East-null-149178?y=1212276015,2 bedroom furnished apartment for rent at East null,"GH₵ 8,158","Apartment for Rent

Apartment for Rent in East null",10.00%,2,3,1,"Air conditioning
Cooker
Washing machine
Fans
Garden
Garage
Swimming pool
Generator",East null,26 m2
1606930282-2873,https://meqasa.com/houses-for-rent-in-ghana?w=183,Read more,"https://meqasa.com/house-for-rent-at-null-Residential-Area,-Accra,-Greater-Accra,-Ghana-003844?y=1216578145","5 bedroom house for rent at null Residential Area, Accra, Greater Accra, Ghana","GH₵ 37,528","House for Rent

House for Rent in null Area",null,5,5,0,Water Reservoir,Accra,"null

null in null Area"
1606930424-2882,https://meqasa.com/houses-for-rent-in-ghana?w=183,Read more,"https://meqasa.com/apartment-for-rent-at-Nyaniba-Estates,Osu,Accra,Ghana.-139348?y=1216578145","1 bedroom apartment for rent at Nyaniba Estates,Osu,Accra,Ghana.","GH₵ 5,175","Apartment for Rent

Apartment for Rent in Nyaniba Estates",null,1,1,0,"Cooker
Washing machine
Fans
Refrigerator
Microwave
Generator
Water reservoir",Nyaniba,null
1606927400-2724,https://meqasa.com/houses-for-rent-in-ghana?w=192,Read more,https://meqasa.com/house-for-rent-at--NorthLegon--149080?y=464465535,3 bedroom house for rent at  NorthLegon,"GH₵ 7,410","House for Rent

House for Rent in NorthLegon",10.00%,3,3,0,Water Reservoir,NorthLegon,400 m2
1606930703-2896,https://meqasa.com/houses-for-rent-in-ghana?w=182,Read more,https://meqasa.com/house-for-rent-at-null-CITY-142712?y=694502847,5 bedroom house for rent at null CITY,"GH₵ 38,050","House for Rent

House for Rent in null CITY",10.00%,5,6,1,"Air conditioning
Cooker
Fans
Microwave
Internet
Annexe (Boys' quarters)
Swimming pool
Security service
Generator
Water reservoir
Garage",null CITY,null
1606930121-2860,https://meqasa.com/houses-for-rent-in-ghana?w=184,Read more,https://meqasa.com/apartment-for-rent-at-Osu-090001?y=253639470,2 bedroom furnished apartment for rent at Osu,"GH₵ 9,790","Apartment for Rent

Apartment for Rent in Osu",null,2,3,0,"Garden
Garage
Swimming pool
Security service
Generator
Water reservoir",Osu,70 m2
1606929792-2844,https://meqasa.com/houses-for-rent-in-ghana?w=185,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon-093650?y=23633777,4 bedroom apartment for rent at East Legon,"GH₵ 3,500","Apartment for Rent

Apartment for Rent in East Legon",null,4,5,2,"Air conditioning
Cooker
Washing machine
Fans
Microwave
Garden
Garage
Roof terrace
Security service
Generator
Water reservoir",East Legon,300 m2
1606925714-2626,https://meqasa.com/houses-for-rent-in-ghana?w=199,Read more,https://meqasa.com/townhouse-for-rent-at-Cantonments-115824?y=485410381,3 bedroom townhouse for rent at Cantonments,"GH₵ 12,342","Townhouse for Rent

Townhouse for Rent in Cantonments",8.00%,3,4,0,"Air conditioning
Cooker
Annexe (Boys' quarters)
Swimming pool
Security service
Generator
Water reservoir",Cantonments,null
1606928845-2800,https://meqasa.com/houses-for-rent-in-ghana?w=188,Read more,https://meqasa.com/house-for-rent-at-Teshie-115188?y=1908632939,3 bedroom house for rent at Teshie,"GH₵ 2,000","House for Rent

House for Rent in Teshie",10.00%,3,3,0,Water Reservoir,Teshie,null
1606927809-2743,https://meqasa.com/houses-for-rent-in-ghana?w=191,Read more,https://meqasa.com/house-for-rent-at-Cantonment-149118?y=2049460700,5 bedroom house for rent at Cantonment,"GH₵ 28,500","House for Rent

House for Rent in Cantonment",10.00%,5,5,0,Water Reservoir,Cantonment,400 m2
1606930569-2888,https://meqasa.com/houses-for-rent-in-ghana?w=182,Read more,"https://meqasa.com/apartment-for-rent-at-Nyaniba-Estates,Osu,Accra,Ghana.-139350?y=694502847","2 bedroom apartment for rent at Nyaniba Estates,Osu,Accra,Ghana.","GH₵ 7,475","Apartment for Rent

Apartment for Rent in Nyaniba Estates",null,2,2,0,"Cooker
Washing machine
Fans
Refrigerator
Microwave
Security service
Generator
Water reservoir",Nyaniba,null
1606928426-2778,https://meqasa.com/houses-for-rent-in-ghana?w=189,Read more,https://meqasa.com/apartment-for-rent-at-East-null-149177?y=1212276015,2 bedroom furnished apartment for rent at East null,"GH₵ 8,158","Apartment for Rent

Apartment for Rent in East null",10.00%,2,3,1,"Air conditioning
Cooker
Washing machine
Fans
Garden
Garage
Swimming pool
Generator",East null,26 m2
1606930132-2861,https://meqasa.com/houses-for-rent-in-ghana?w=184,Read more,https://meqasa.com/apartment-for-rent-at-Osu-089997?y=253639470,2 bedroom furnished apartment for rent at Osu,"GH₵ 11,966","Apartment for Rent

Apartment for Rent in Osu",null,2,3,3,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Osu,180 m2
1606928531-2784,https://meqasa.com/houses-for-rent-in-ghana?w=189,Read more,https://meqasa.com/house-for-rent-at-Tse-Addo--149183?y=1212276015,4 bedroom house for rent at Tse Addo,"GH₵ 11,400","House for Rent

House for Rent in Tse Addo",10.00%,4,4,0,Water Reservoir,Tse Addo,400 m2
1606929885-2848,https://meqasa.com/houses-for-rent-in-ghana?w=185,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-093610?y=23633777,2 bedroom furnished apartment for rent at Cantonments,"GH₵ 7,614","Apartment for Rent

Apartment for Rent in Cantonments",null,2,2,3,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,180 m2
1606926051-2641,https://meqasa.com/houses-for-rent-in-ghana?w=198,Read more,https://meqasa.com/house-for-rent-at-East-null-105550?y=1556277904,4 bedroom house for rent at East null,"GH₵ 9,790","House for Rent

House for Rent in East null",8.00%,4,4,0,Water Reservoir,East null,null
1606925892-2634,https://meqasa.com/houses-for-rent-in-ghana?w=198,Read more,https://meqasa.com/house-for-rent-at-East-Legon-111662?y=1556277904,5 bedroom house for rent at East Legon,"GH₵ 21,780","House for Rent

House for Rent in East Legon",8.00%,5,5,0,Water Reservoir,East Legon,null
1606930046-2856,https://meqasa.com/houses-for-rent-in-ghana?w=184,Read more,https://meqasa.com/apartment-for-rent-at-Cantonment--091313?y=253639470,3 bedroom apartment for rent at Cantonment,"GH₵ 9,790","Apartment for Rent

Apartment for Rent in Cantonment",null,3,3,5,"Air conditioning
Cooker
Washing machine
Fans
Microwave
Internet
Garden
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonment,50 m2
1606926257-2655,https://meqasa.com/houses-for-rent-in-ghana?w=197,Read more,https://meqasa.com/house-for-rent-at-North-Legon-148991?y=1060468882,4 bedroom house for rent at North Legon,"GH₵ 5,000","House for Rent

House for Rent in North Legon",10.00%,4,5,7,"Air conditioning
Fans
Internet
Dstv
Garden
Garage
Security service
Water reservoir",North Legon,760 m2
1606930326-2875,https://meqasa.com/houses-for-rent-in-ghana?w=183,Read more,https://meqasa.com/apartment-for-rent-at--149252?y=1216578145,Furnished apartment for rent at,"GH₵ 8,808","Apartment for Rent

Apartment for Rent in",null,0,,0,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Security service
Water reservoir",,null
1606926799-2686,https://meqasa.com/houses-for-rent-in-ghana?w=195,Read more,https://meqasa.com/apartment-for-rent-at--east-legon--149041?y=457512009,1 bedroom apartment for rent at  east legon,"GH₵ 1,700","Apartment for Rent

Apartment for Rent in east legon",10.00%,1,1,0,Water Reservoir,east legon,400 m2
1606925558-2618,https://meqasa.com/houses-for-rent-in-ghana?w=199,Read more,https://meqasa.com/house-for-rent-at-West-Legon-133161?y=485410381,5 bedroom furnished house for rent at West Legon,"GH₵ 12,126","House for Rent

House for Rent in West Legon",8.00%,5,5,0,"Air conditioning
Fans
Refrigerator
Microwave
Generator
Water reservoir",West Legon,null
1606926755-2683,https://meqasa.com/houses-for-rent-in-ghana?w=195,Read more,https://meqasa.com/house-for-rent-at-:-Weija-Broadcasting-(near-Asamoah-Gyan's-House)-127017?y=457512009,4 bedroom house for rent at : Weija-Broadcasting (near Asamoah Gyan's House),"GH₵ 1,500","House for Rent

House for Rent in : Kasoa",10.00%,4,3,0,"Garage
Fans
Water reservoir",Weija,null
1606926233-2654,https://meqasa.com/houses-for-rent-in-ghana?w=197,Read more,https://meqasa.com/apartment-for-rent-at-Dzorwulu-148990?y=1060468882,1 bedroom furnished apartment for rent at Dzorwulu,"GH₵ 2,000","Apartment for Rent

Apartment for Rent in Dzorwulu",10.00%,1,1,0,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Generator
Water reservoir",Dzorwulu,null
1606930264-2872,https://meqasa.com/houses-for-rent-in-ghana?w=183,Read more,"https://meqasa.com/apartment-for-rent-at-Shiashie,Accra-Ghana-036088?y=1216578145","1 bedroom furnished apartment for rent at Shiashie,Accra Ghana","GH₵ 7,832","Apartment for Rent

Apartment for Rent in Shiashie",null,1,1,0,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Shiashie,42 m2
1606930399-2880,https://meqasa.com/houses-for-rent-in-ghana?w=183,Read more,"https://meqasa.com/house-for-rent-at-Osu,-Accra,-Ghana-038428?y=1216578145","3 bedroom house for rent at Osu, Accra, Ghana","GH₵ 9,518","House for Rent

House for Rent in Osu",null,3,3,6,Garage,Osu,300 m2
1606929553-2834,https://meqasa.com/houses-for-rent-in-ghana?w=186,Read more,https://meqasa.com/house-for-rent-at-Cantonments-148008?y=2009497526,4 bedroom house for rent at Cantonments,"GH₵ 21,756","House for Rent

House for Rent in Cantonments",null,4,5,5,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Garden
Garage
Annexe (Boys' quarters)
Security service
Water reservoir",Cantonments,800 m2
1606930189-2866,https://meqasa.com/houses-for-rent-in-ghana?w=184,Read more,"https://meqasa.com/house-for-rent-at-Cantonments,Accra,Ghana-003624?y=253639470","3 bedroom house for rent at Cantonments,Accra,Ghana","GH₵ 29,914","House for Rent

House for Rent in Cantonments",null,3,5,0,"Garden
Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Swimming pool
Security service
Generator
Water reservoir",Cantonments,300 m2
1606928889-2802,https://meqasa.com/houses-for-rent-in-ghana?w=188,Read more,"https://meqasa.com/townhouse-for-rent-at-null-Residential-Area,Accra,Ghana-102623?y=1908632939","4 bedroom townhouse for rent at null Residential Area,Accra,Ghana","GH₵ 23,000","Townhouse for Rent

Townhouse for Rent in null Residential Area",1 month's rent,4,4,1,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Internet
Garden
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",null Residential,"null

null in null Residential Area"
1606927484-2728,https://meqasa.com/houses-for-rent-in-ghana?w=192,Read more,https://meqasa.com/apartment-for-rent-at-3bedrooms-apartment-for-rent-at-Hatso-Bohye-149085?y=464465535,3 bedroom apartment for rent at 3bedrooms apartment for rent at Hatso Bohye,"GH₵ 1,200","Apartment for Rent

Apartment for Rent in 3bedrooms apartment for rent at Hatso Bo",10.00%,3,3,0,Water Reservoir,Hatso,400 m2
1606927669-2737,https://meqasa.com/houses-for-rent-in-ghana?w=192,Read more,https://meqasa.com/house-for-rent-at--East-Legon--149099?y=464465535,4 bedroom house for rent at  East Legon,"GH₵ 14,250","House for Rent

House for Rent in East Legon",10.00%,4,4,0,Water Reservoir,East Legon,400 m2
1606925101-2597,https://meqasa.com/houses-for-rent-in-ghana?w=200,Read more,https://meqasa.com/apartment-for-rent-at-Noth-legon--111605?y=2113882234,2 bedroom furnished apartment for rent at Noth legon,"GH₵ 7,000","Apartment for Rent

Apartment for Rent in Noth legon",10.00%,2,2,0,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Generator
Water reservoir",Noth legon,null
